CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC48103,Aiga Salevalasi Charitable Trust,2 Clayburn Road, ,Glen Eden,Auckland,0602,,-36.9093554,174.6525624
CC48519,Community Living Limited,180 Collingwood Street, ,Hamilton Lake,Hamilton,3204,,-37.7909359,175.2783095
CC49017,CORE Education Charitable Trust,323 Madras Street, ,Christchurch Central,Christchurch,8013,,-43.5252612,172.6423469
CC50425,Journey New Zealand Trust,6 Kaka Street,RD 14,Pohangina,Ashhurst,4884,,-40.171327,175.7939517
CC48539,Music Futures Incorporated,17 Helen Street, ,Brooklyn,Wellington,6021,,-41.3034848,174.7625844
CC48540,Tumanako Hou Trust Whakatane,"First Floor, 4 Canning Place",Whakatane 3120, ,Whakatane,3120,,-37.9519068,176.9969006
CC48800,Nga Wairiki Ki Uta Charitable Trust,72 Putiki Drive, ,Putiki,Whanganui,4500,,-39.9425338,175.053769
CC48411,Otautahi Women's Refuge Incorporated,,,,,,,-40.900557,174.885971
CC48597,Pike River Miners Family Educational Trust,24 Guinness Street,,,Greymouth,7805,,-42.4494702,171.2098611
CC48813,Papawhenua Charitable Trust,85 Hendersons Line,Marton 4710, ,Marton,4710,,-40.0834086,175.3705019
CC48389,Dream Chaser Foundation - A Chace Topperwien Charity,253 Harbour Road,,Ōhope,Ohope,3121,,-37.98079,177.0980094
CC48897,Human Aid Focus New Zealand,50 Tip Road, ,Awapuni,Palmerston North,4412,,-40.3861351,175.5830501
CC48109,Hohepa Services Limited,State Highway 2, ,Clive,Hawkes Bay,4102,,-39.3638627,176.9019139
CC48097,Templeton RSA Poppy Charitable Trust,342 West Melton Road,RD 5,West Melton,Christchurch,7675,,-43.5507237,172.3696656
CC48094,The Waterfront Theatre Trust,487 Dominion Road, ,Mount Eden,Auckland,1024,,-36.8859492,174.7473972
CC48106,Christian Schools of Auckland Charitable Trust,77 Rogers Road, ,Manurewa,Auckland,2102,,-37.0286454,174.9003377
CC48114,The First Samoan Full Gospel Pentecostal Church (Stokes Valley) Trust Board,151 Stokes Valley Road, ,Stokes Valley,Lower Hutt,5019,,-41.1708652,174.9833145
