CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC24831,Abbeyfield New Zealand Group,LEVEL ONE CONCORDIA HOUSE,200 Hardy Street, ,Nelson,7010,New Zealand,-41.2745312,173.2843713
CC28798,Advent Christian Conference of New Zealand,27 Fairview Avenue, ,Opaheke,Papakura,2113,New Zealand,-37.0756732,174.9457337
CC26188,Alandale,1199 River Road, ,Flagstaff,Hamilton,3210,New Zealand,-37.7394242,175.2495264
CC40360,Arohanui Hospice Service Trust Group,1 Heretaunga Street,, ,Palmerston North,4414,New Zealand,-40.3370849,175.6166243
CC22833,Auckland Kindergarten Association Group,80 Greys Avenue,385 Queen Street,Auckland Central,Auckland,1010,New Zealand,-36.8550646,174.7604846
CC41003,Auckland Grammar School Headmaster's Council Combined Trusts,55-85 Mountain Road, ,Epsom,Auckland,1023,New Zealand,-36.8695956,174.7678444
CC41345,Auckland Grammar School Combined Trusts,55-85 Mountain Road, ,Epsom,Auckland,1023,New Zealand,-36.8695956,174.7678444
CC31303,The RSCJ Trust,237 Victoria Avenue, ,Remuera,Auckland,1050,New Zealand,-36.865302,174.8017971
CC20150,Carmelite Nuns Of New Zealand,CARMELITE MONASTERY ST THOMAS APOSTLE,636 Mount Albert Road,Royal Oak,Auckland,1023,New Zealand,-36.909456,174.7667349
CC27197,New Zealand Catholic Bishops Conference Group,Level 5,204 Thorndon Quay,Pipitea,Wellington,6011,New Zealand,-41.2720205,174.7825212
CC43500,Committee For Auckland,88 Shortland Street,3 Albert Street,Auckland Central,Auckland,1010,New Zealand,-36.8467374,174.7696856
CC23528,Counselling And Food Bank Group,125 Ruataniwha Street,, ,Waipukurau,4200,New Zealand,-39.9950378,176.5526205
CC40411,Counties Manukau Kindergarten Association,8 Oakleigh Avenue, ,Takanini,Auckland,2112,New Zealand,-37.0385931,174.9172707
CC38176,Hillcrest Chapel Group,Cnr Masters Avenue And Morris Road,Hillcrest, ,Hamilton,3251,New Zealand,-37.7941351,175.3245638
CC43332,Hokotehi Moriori Trust Group,Kopinga Marae,Owenga Wharf Road, ,Chatham Islands,8942,New Zealand,-43.9687271,-176.5153817
CC27038,Hospice Marlborough,Gate 2,Hospital Road, ,Blenheim,7201,New Zealand,-41.5346194,173.9425488
CC38682,M.K. Hunt Foundation Limited,6 La Cuesta Close, ,Bethlehem,Tauranga,3110,New Zealand,-37.7038344,176.1222328
CC22473,IHC New Zealand,MoranLaw Limited,"Level 2, 40 Lady Elizabeth Lane",,Wellington,6011,New Zealand,-41.2823037,174.7788888
CC24057,The Internet Safety Group,Level 2 The General Building,29-33 Shortland Street,Auckland Central,Auckland,1010,New Zealand,-36.846862,174.7674054
CC21929,Kidscan Charitable Trust Group,7 Beatrice Tinsley Crescent, ,Rosedale,Auckland,632,New Zealand,-36.7535323,174.7029738
